timestamp,bitcoin,ethereum,solana
2024-07-27,67813.3359375,3247.60791015625,184.0854034423828
2024-07-28,68255.8671875,3271.464599609375,184.88607788085938
2024-07-29,66819.9140625,3320.539306640625,182.7805938720703
2024-07-30,66201.015625,3278.667724609375,179.10719299316406
2024-07-31,64619.25,3231.295654296875,171.82615661621094
2024-08-01,65357.5,3201.564453125,167.672119140625
2024-08-02,61415.06640625,2986.01318359375,152.6382293701172
2024-08-03,60680.09375,2903.3857421875,142.9219970703125
2024-08-04,58116.9765625,2686.39892578125,138.05508422851562
2024-08-05,53991.45703125,2417.206298828125,129.8643035888672
2024-08-06,56034.31640625,2458.723876953125,144.09036254882812
2024-08-07,55027.4609375,2336.58935546875,144.63209533691406
2024-08-08,57953.787109375,2683.352783203125,162.9307403564453
2024-08-09,60880.11328125,2599.5986328125,156.45721435546875
2024-08-10,60945.8125,2610.02294921875,153.95916748046875
2024-08-11,58719.484375,2553.252197265625,141.52685546875
2024-08-12,59354.515625,2724.431884765625,146.45423889160156
2024-08-13,60609.56640625,2703.671875,146.7126922607422
2024-08-14,58737.26953125,2662.914794921875,143.9234619140625
2024-08-15,57560.09765625,2570.087646484375,142.74581909179688
2024-08-16,58894.10546875,2593.1865234375,139.33056640625
2024-08-17,59478.97265625,2614.546875,141.7985076904297
2024-08-18,58483.96484375,2613.357177734375,142.58688354492188
2024-08-19,59493.453125,2637.306396484375,144.34368896484375
2024-08-20,59012.79296875,2573.10693359375,143.16773986816406
2024-08-21,61175.19140625,2631.3955078125,142.70960998535156
2024-08-22,60381.9140625,2622.951416015625,143.2579345703125
2024-08-23,64094.35546875,2764.447021484375,153.10708618164062
2024-08-24,64178.9921875,2769.3896484375,160.73175048828125
2024-08-25,64333.54296875,2749.15771484375,158.90911865234375
2024-08-26,62880.66015625,2681.340576171875,157.23687744140625
2024-08-27,59504.1328125,2458.7265625,146.8970947265625
2024-08-28,59027.625,2528.41552734375,143.89138793945312
